,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
16,176,Derek Lowe,LA,35,35,222.0,223,113,89,55,146,12,15,0,0,1.2,1.25,3.61
17,177,Ugueth Urbina,DET/PHI,81,0,79.2,56,34,32,39,97,5,6,10,8,0.0,1.19,3.62
18,178,Mark Mulder,STL,32,32,205.0,212,90,83,70,111,16,8,0,0,2.3,1.38,3.64
19,179,Kent Mercker,CIN,78,0,61.2,64,27,25,19,45,3,1,4,3,0.8,1.35,3.65
20,,Ryan Speier,COL,22,0,24.2,26,12,10,13,10,2,1,0,1,0.3,1.58,3.65
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,,Josh Johnson,FLA,4,1,12.1,11,5,5,10,10,0,0,0,0,0.2,1.70,3.65
23,182,Craig Dingman,DET,34,0,32.0,30,14,13,9,24,2,3,4,1,0.2,1.22,3.66
24,183,Franklyn German,DET,58,0,59.0,63,26,24,34,38,4,0,1,2,0.5,1.64,3.66
25,184,Aaron Cook,COL,13,13,83.1,101,38,34,16,24,7,2,0,0,1.7,1.40,3.67
26,,Mark Prior,CHC,27,27,166.2,143,73,68,59,188,11,7,0,0,3.4,1.21,3.67
27,186,Eude Brito,PHI,6,5,22.0,20,9,9,11,15,1,2,0,0,0.3,1.41,3.68
28,,Darrell Rasner,WAS,5,1,7.1,5,3,3,2,4,0,1,0,0,0.1,0.95,3.68
29,188,Jamie Walker,DET,66,0,48.2,49,22,20,13,30,4,3,0,2,0.4,1.27,3.70
30,189,Josh Towers,TOR,33,33,208.2,237,101,86,29,112,13,12,0,0,2.2,1.27,3.71
31,190,Brendan Donnelly,LAA,65,0,65.1,60,30,27,19,53,9,3,0,5,0.4,1.21,3.72
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,191,Brett Myers,PHI,34,34,215.1,193,94,89,68,208,13,8,0,0,2.6,1.21,3.72
34,192,Rick White,PIT,71,0,75.0,90,39,31,29,40,4,7,2,1,0.0,1.59,3.72
35,193,Joaquin Benoit,TEX,32,9,87.0,69,39,36,38,78,4,4,0,0,1.9,1.23,3.72
36,,Geoff Geary,PHI,40,0,58.0,54,29,24,21,42,2,1,0,1,-0.1,1.29,3.72
37,,Gustavo Chacin,TOR,34,34,203.0,213,93,84,70,121,13,9,0,0,3.0,1.39,3.72
38,196,Luis Vizcaino,CWS,65,0,70.0,74,30,29,29,43,6,5,0,3,0.8,1.47,3.73
39,197,Duaner Sanchez,LA,79,0,82.0,75,36,34,36,71,4,7,8,4,0.6,1.35,3.73
40,198,Dan Haren,OAK,34,34,217.0,212,101,90,53,163,14,12,0,0,3.0,1.22,3.73
41,199,Paul Byrd,LAA,31,31,204.1,216,95,85,28,102,12,11,0,0,2.2,1.19,3.74
42,200,Chris Oxspring,SD,5,0,12.0,9,8,5,6,11,0,0,0,0,-0.1,1.25,3.75
0,201,Damaso Marte,CWS,66,0,45.1,45,21,19,33,54,3,4,4,4,0.5,1.72,3.77
1,202,Esteban Loaiza,WAS,34,34,217.0,227,93,91,55,173,12,10,0,0,3.6,1.30,3.77
2,,Scott Kazmir,TB,32,32,186.0,172,90,78,100,174,10,9,0,0,3.1,1.46,3.77
3,204,Noah Lowry,SF,33,33,204.2,193,92,86,76,172,13,13,0,0,3.7,1.31,3.78
4,205,Cliff Lee,CLE,32,32,202.0,194,91,85,52,143,18,5,0,0,2.2,1.22,3.79
5,206,Randy Johnson,NYY,34,34,225.2,207,102,95,47,211,17,8,0,0,5.5,1.13,3.79
6,207,Michael Wuertz,CHC,75,0,75.2,60,36,32,40,89,6,2,0,3,0.6,1.32,3.81
7,208,James Baldwin,BAL/TEX,28,0,56.2,54,28,24,16,29,0,2,1,0,0.1,1.24,3.81
8,209,Aaron Harang,CIN,32,32,211.2,217,93,90,51,163,11,13,0,0,4.3,1.27,3.83
9,210,Bruce Chen,BAL,34,32,197.1,187,94,84,63,133,13,10,0,0,2.8,1.27,3.83
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,211,LaTroy Hawkins,CHC/SF,66,0,56.1,58,27,24,24,43,2,8,6,9,0.4,1.46,3.83
12,212,Chris Hammond,SD,55,0,58.2,51,25,25,14,34,5,1,0,3,0.5,1.11,3.84
13,213,Doug Davis,MIL,35,35,222.2,196,103,95,93,208,11,11,0,0,3.4,1.30,3.84
14,214,Chad Bradford,BOS,31,0,23.1,29,10,10,4,10,2,1,0,1,0.4,1.41,3.86
15,215,Barry Zito,OAK,35,35,228.1,185,106,98,89,171,14,13,0,0,3.0,1.20,3.86
16,216,Freddy Garcia,CWS,33,33,228.0,225,102,98,60,146,14,8,0,0,3.3,1.25,3.87
17,217,Vinnie Chulk,TOR,62,0,72.0,68,33,31,26,39,0,1,0,1,0.5,1.31,3.88
18,218,Justin Lehr,MIL,23,0,34.2,32,19,15,18,23,1,1,0,1,0.0,1.44,3.89
19,,Joel Peralta,LAA,28,0,34.2,28,15,15,14,30,1,0,0,0,0.3,1.21,3.89
20,220,Brad Penny,LA,29,29,175.1,185,78,76,41,122,7,9,0,0,2.2,1.29,3.90
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,221,Erasmo Ramirez,TEX,16,0,23.0,24,10,10,3,6,0,0,0,1,0.4,1.17,3.91
23,,Dae-Sung Koo,NYM,33,0,23.0,22,12,10,13,23,0,0,0,2,0.0,1.52,3.91
24,223,Giovanni Carrara,LA,72,0,75.2,65,35,33,38,56,7,4,0,2,0.3,1.36,3.93
25,224,Jeff Nelson,SEA,49,0,36.2,32,17,16,22,34,1,3,1,3,0.3,1.47,3.93
26,,Chris Reitsma,ATL,76,0,73.1,79,32,32,14,42,3,6,15,9,0.4,1.27,3.93
